District                       ,State,Area_km2,Population
Adilabad,Andhra Pradesh,16105,2741239
Agra,Uttar Pradesh,4041,4418797
Ahmadabad,Gujarat,8107,7214225
Ahmadnagar,Maharashtra,17048,4543159
Aizawl,Mizoram,3576,400309
Ajmer,Rajasthan,8481,2583052
Akola,Maharashtra,5676,1813906
Alappuzha,Kerala,1415,2127789
Aligarh,Uttar Pradesh,3650,3673889
Alirajpur,Madhya Pradesh,3182,728999
Allahabad,Uttar Pradesh,5482,5954391
Almora,Uttarakhand,3144,622506
Alwar,Rajasthan,8380,3674179
Ambala,Haryana,,1128350
Ambedkar Nagar,Uttar Pradesh,#VALUE!,2397888
Amravati,Maharashtra,#VALUE!,2888445
Amreli,Gujarat,#VALUE!,1514190
Amritsar,Punjab,#VALUE!,2490656
Anand,Gujarat,#VALUE!,2092745
Anantapur,Andhra Pradesh,#VALUE!,4081148
Anantnag,Jammu and Kashmir,#VALUE!,1078692
Anjaw,Arunachal Pradesh,#VALUE!,21167
Anugul,Orissa,#VALUE!,1273821
Anuppur,Madhya Pradesh,#VALUE!,749237
Araria,Bihar,#VALUE!,2811569
Ariyalur,Tamil Nadu,#VALUE!,754894
Arwal,Bihar,#VALUE!,700843
Ashoknagar,Madhya Pradesh,#VALUE!,845071
Auraiya,Uttar Pradesh,#VALUE!,1379545
Aurangabad,Bihar,#VALUE!,2540073
Aurangabad,Maharashtra,#VALUE!,3701282
Azamgarh,Uttar Pradesh,#VALUE!,4613913
Badgam,Jammu and Kashmir,#VALUE!,753745
Bagalkot,Karnataka,#VALUE!,1889752
Bageshwar,Uttarakhand,#VALUE!,259898
Baghpat,Uttar Pradesh,#VALUE!,1303048
Bahraich,Uttar Pradesh,#VALUE!,3487731
Baksa,Assam,#VALUE!,950075
Balaghat,Madhya Pradesh,#VALUE!,1701698
Balangir,Orissa,#VALUE!,1648997
Baleshwar,Orissa,#VALUE!,2320529
Ballia,Uttar Pradesh,#VALUE!,3239774
Balrampur,Uttar Pradesh,#VALUE!,2148665
Banaskantha,Gujarat,#VALUE!,3120506
Banda,Uttar Pradesh,#VALUE!,1799410
Bandipora,Jammu and Kashmir,#VALUE!,392232
Bangalore,Karnataka,#VALUE!,9621551
Bangalore Rural,Karnataka,#VALUE!,990923
Banka,Bihar,#VALUE!,2034763
Bankura,West Bengal,#VALUE!,3596674
Banswara,Rajasthan,#VALUE!,1797485
Barabanki,Uttar Pradesh,#VALUE!,3260699
Baramula,Jammu and Kashmir,#VALUE!,1008039
Baran,Rajasthan,#VALUE!,1222755
Barddhaman,West Bengal,#VALUE!,7717563
Bareilly,Uttar Pradesh,#VALUE!,4448359
Bargarh,Orissa,#VALUE!,1481255
Barmer,Rajasthan,#VALUE!,2603751
Barnala,Punjab,#VALUE!,595527
Barpeta,Assam,#VALUE!,1693622
Barwani,Madhya Pradesh,#VALUE!,1385881
Bastar,Chhattisgarh,#VALUE!,1413199
Basti,Uttar Pradesh,#VALUE!,2464464
Bathinda,Punjab,#VALUE!,1388525
Baudh,Orissa,#VALUE!,441162
Begusarai,Bihar,#VALUE!,2970541
Belgaum,Karnataka,#VALUE!,4779661
Bellary,Karnataka,#VALUE!,2452595
Betul,Madhya Pradesh,#VALUE!,1575362
Bhadrak,Orissa,#VALUE!,1506337
Bhagalpur,Bihar,#VALUE!,3037766
Bhandara,Maharashtra,#VALUE!,1200334
Bharatpur,Rajasthan,#VALUE!,2548462
Bharuch,Gujarat,#VALUE!,1551019
Bhavnagar,Gujarat,#VALUE!,2880365
Bhilwara,Rajasthan,#VALUE!,2408523
Bhind,Madhya Pradesh,#VALUE!,1703005
Bhiwani,Haryana,#VALUE!,1634445
Bhojpur,Bihar,#VALUE!,2728407
Bhopal,Madhya Pradesh,#VALUE!,2371061
Bid,Maharashtra,#VALUE!,2585049
Bidar,Karnataka,#VALUE!,1703300
Bijapur,Chhattisgarh,#VALUE!,255230
Bijapur,Karnataka,#VALUE!,2177331
Bijnor,Uttar Pradesh,#VALUE!,3682713
Bikaner,Rajasthan,#VALUE!,2363937
Bilaspur,Chhattisgarh,#VALUE!,381956
Bilaspur,Himachal Pradesh,#VALUE!,2663629
Birbhum,West Bengal,#VALUE!,3502404
Bishnupur,Manipur,#VALUE!,237399
Bokaro,Jharkhand,#VALUE!,2062330
Bongaigaon,Assam,#VALUE!,738804
Budaun,Uttar Pradesh,#VALUE!,3681896
Bulandshahar,Uttar Pradesh,#VALUE!,3499171
Buldana,Maharashtra,#VALUE!,2586258
Bundi,Rajasthan,#VALUE!,1110906
Burhanpur,Madhya Pradesh,#VALUE!,757847
Buxar,Bihar,#VALUE!,1706352
Cachar,Assam,#VALUE!,1736617
Central,#N/A,#VALUE!,582320
Chamarajanagar,Karnataka,#VALUE!,1020791
Chamba,Himachal Pradesh,#VALUE!,519080
Chamoli,Uttarakhand,#VALUE!,391605
Champawat,Uttarakhand,#VALUE!,259648
Champhai,Mizoram,#VALUE!,125745
Chandauli,Uttar Pradesh,#VALUE!,1952756
Chandel,Manipur,#VALUE!,144182
Chandigarh,Chandigarh,#VALUE!,1055450
Chandrapur,Maharashtra,#VALUE!,2204307
Changlang,Arunachal Pradesh,#VALUE!,148226
Chatra,Jharkhand,#VALUE!,1042886
Chennai,Tamil Nadu,#VALUE!,4646732
Chhatarpur,#N/A,#VALUE!,1762375
Chhindwara,Madhya Pradesh,#VALUE!,2090922
Chikkaballapura,Karnataka,#VALUE!,1255104
Chikmagalur,Karnataka,#VALUE!,1137961
Chirang,Assam,#VALUE!,482162
Chitradurga,Karnataka,#VALUE!,1659456
Chitrakoot,Uttar Pradesh,#VALUE!,991730
Chittaurgarh,Rajasthan,#VALUE!,1544338
Chittoor,Andhra Pradesh,#VALUE!,4174064
Churachandpur,Manipur,#VALUE!,274143
Churu,Rajasthan,#VALUE!,2039547
Coimbatore,Tamil Nadu,#VALUE!,3458045
Cuddalore,Tamil Nadu,#VALUE!,2605914
Cuttack,Orissa,#VALUE!,2624470
Dadra & Nagar Haveli,#N/A,#VALUE!,343709
Dahod,#N/A,#VALUE!,2127086
Dakshin Bastar Dantewada,#N/A,#VALUE!,533638
Dakshin Dinajpur,West Bengal,#VALUE!,1676276
Dakshina Kannada,Karnataka,#VALUE!,2089649
Daman,Daman and Diu,#VALUE!,191173
Damoh,Madhya Pradesh,#VALUE!,1264219
Darbhanga,Bihar,#VALUE!,3937385
Darjiling,West Bengal,#VALUE!,1846823
Darrang,Assam,#VALUE!,928500
Datia,Madhya Pradesh,#VALUE!,786754
Dausa,Rajasthan,#VALUE!,1634409
Davanagere,Karnataka,#VALUE!,1945497
Debagarh,Orissa,#VALUE!,312520
Dehradun,Uttarakhand,#VALUE!,1696694
Deoghar,Jharkhand,#VALUE!,1492073
Deoria,Uttar Pradesh,#VALUE!,3100946
Dewas,Madhya Pradesh,#VALUE!,1563715
Dhalai,Tripura,#VALUE!,378230
Dhamtari,Chhattisgarh,#VALUE!,799781
Dhanbad,Jharkhand,#VALUE!,2684487
Dhar,Madhya Pradesh,#VALUE!,2185793
Dharmapuri,Tamil Nadu,#VALUE!,1506843
Dharwad,Karnataka,#VALUE!,1847023
Dhaulpur,Rajasthan,#VALUE!,1206516
Dhemaji,Assam,#VALUE!,686133
Dhenkanal,Orissa,#VALUE!,1192811
Dhubri,Assam,#VALUE!,1949258
Dhule,Maharashtra,#VALUE!,2050862
Dibang Valley,Arunachal Pradesh,#VALUE!,8004
Dibrugarh,Assam,#VALUE!,1326335
Dima Hasao,Assam,#VALUE!,214102
Dimapur,Nagaland,#VALUE!,378811
Dindigul,Tamil Nadu,#VALUE!,2159775
Dindori,Madhya Pradesh,#VALUE!,704524
Diu,Daman and Diu,#VALUE!,52074
Doda,Jammu and Kashmir,#VALUE!,409936
Dumka,Jharkhand,#VALUE!,1321442
Dungarpur,Rajasthan,#VALUE!,1388552
Durg,Chhattisgarh,#VALUE!,3343872
East,#N/A,#VALUE!,1709346
East District,#N/A,#VALUE!,283583
